% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
48.51,51.49,,,,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Tenant Controlled HVAC, Breakfast/Coffee Concierge, Grill, On-Site Retail, Package Service, Pet Play Area, Walking/Biking Trails, Bicycle Storage, Community-Wide WiFi, Elevator, Maintenance on site, Online Services, Breakfast Nook, Dining Room, Recreation Room, Vinyl Flooring, Roommate Matching, Study Lounge",2.19,1865,850,B,,Portland,0.42,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Tenant Controlled HVAC, Breakfast/Coffee Concierge, Grill, On-Site Retail, Package Service, Pet Play Area, Walking/Biking Trails, Bicycle Storage, Community-Wide WiFi, Elevator, Maintenance on site, Online Services, Breakfast Nook, Dining Room, Recreation Room, Vinyl Flooring, Roommate Matching, Study Lounge",,1.91,45.5338470,,-122.6500044,4,5,202,703,0.77,$22.00,309618,,Mid-Rise,Sullivan's Gulch,,989,1997,2012,97232,RHS / CXD/RX
36.00,,,,64.00,"Air Conditioning, Fitness Center, Laundry Facilities, On-Site Retail, Package Service, Wi-Fi, Elevator, Lounge, Pet Washing Station",,,553,B,,Vancouver,11.92,"Air Conditioning, Fitness Center, Laundry Facilities, On-Site Retail, Package Service, Wi-Fi, Elevator, Lounge, Pet Washing Station",,,45.6315826,,-122.6677675,0,5,25,797,,$22.00,20565,416,Mid-Rise,Downtown Vancouver,,,1995,,98660-3408,CX
16.00,80.00,4.00,,,Pantry,1.28,1241,966,B,,Portland,0.23,Pantry,,0.79,45.5231390,,-122.5142820,0,3,25,790,1.35,Not Disclosed,20000,,Garden,Gateway,1000,1000,1994,,97233-2139,RM3
,100.00,,,,"24 Hour Access, Fitness Center, Picnic Area, Playground, Basketball Court",1.48,1334,900,B,,Sherwood,3.85,"24 Hour Access, Fitness Center, Picnic Area, Playground, Basketball Court",,4.94,45.3583487,,-122.8273329,0,2,56,,1.09,Not Disclosed,50400,,Garden,Sherwood/Tualatin South,,900,1991,,97140,MDRH
,80.00,20.00,,,Patio,1.33,1276,960,C,,Gresham,13.89,Patio,,0.98,45.5159340,,-122.4134170,0,2,20,,1.22,Not Disclosed,19600,,Low-Rise,Gresham-North Central,1040,940,1990,,97030-8102,"MDR24, Gresham"
66.03,33.97,,,,"Air Conditioning, Business Center, Fitness Center, Picnic Area, Property Manager on Site, Sauna, Spa, Waterfront, Gameroom, Grill, Elevator, Online Services, Public Transportation",2.14,1838,860,B,,Portland,0.14,"Air Conditioning, Business Center, Fitness Center, Picnic Area, Property Manager on Site, Sauna, Spa, Waterfront, Gameroom, Grill, Elevator, Online Services, Public Transportation",,0.45,45.5138444,,-122.6775325,2,13,156,666,1.10,$23.00,261053,,Mid-Rise,Waterfront,,1239,1992,,97201-6633,CX
57.59,29.84,2.09,,10.47,"24 Hour Access, Air Conditioning, Controlled Access, Courtyard, Fitness Center, Pool, Property Manager on Site, Tenant Controlled HVAC, Package Service, Renters Insurance Program, Elevator, Hearing Impaired Accessible, Lounge, Maintenance on site, Online Services, Sundeck, Vision Impaired Accessible, Handrails, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Individual Locking Bedrooms, Private Bathroom",2.45,1837,748,B,,Portland,0.04,"24 Hour Access, Air Conditioning, Controlled Access, Courtyard, Fitness Center, Pool, Property Manager on Site, Tenant Controlled HVAC, Package Service, Renters Insurance Program, Elevator, Hearing Impaired Accessible, Lounge, Maintenance on site, Online Services, Sundeck, Vision Impaired Accessible, Handrails, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Individual Locking Bedrooms, Private Bathroom",,0.9183,45.5143242,,-122.6844387,3,13,191,629,0.57,$18.00 - 20.00,217017,519,Mid-Rise,Arts District,1386,1016,1987,,97201-3518,RXD
32.69,67.31,,,,"24 Hour Access, Air Conditioning, Property Manager on Site, Deck, Loft Layout, Patio, Wheelchair Accessible (Rooms)",1.31,1154,880,B,,Battle Ground,18.75,"24 Hour Access, Air Conditioning, Property Manager on Site, Deck, Loft Layout, Patio, Wheelchair Accessible (Rooms)",,2.43,45.7818120,,-122.5357630,0,2,52,737,1.86,Not Disclosed,45916,,Garden,Outlying Clark  County,,951,1996,,98604-8547,CA
45.71,54.29,,,,"Air Conditioning, Business Center, Laundry Facilities, Property Manager on Site, Gated, Car Wash Area, Recycling, Trash Pickup - Curbside, Patio, Wheelchair Accessible (Rooms)",1.92,1559,811,B,,Vancouver,9.74,"Air Conditioning, Business Center, Laundry Facilities, Property Manager on Site, Gated, Car Wash Area, Recycling, Trash Pickup - Curbside, Patio, Wheelchair Accessible (Rooms)",,0.79,45.6203498,,-122.5075064,0,2,70,735,,Not Disclosed,57445,,Garden,Fisher's Village,,875,1998,,98684-9566,ME
,96.88,3.13,,,,1.01,922,909,C,,Battle Ground,18.46,,,0.38,45.7797390,,-122.5423830,0,2,32,,1.34,Not Disclosed,33564,,Low-Rise,Outlying Clark  County,1184,900,1990,,98604,CA
