% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
85.11,10.64,2.13,,2.13,"Laundry Facilities, Picnic Area, Pool",1.58,1033,657,B,,Milwaukie,17.28,"Laundry Facilities, Picnic Area, Pool",,1.57,45.4220705,,-122.6362413,0,2,47,624,1.95,Not Disclosed,30780,500,Low-Rise,Milwaukie Heights,1400,800,1975,,97222-8208,MR1
26.39,73.61,,,,"Business Center, Controlled Access, Clubhouse, Laundry Facilities, Property Manager on Site, Gated, Laundry Service, Package Service, Yard, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",1.91,1247,653,C,,Portland,6.37,"Business Center, Controlled Access, Clubhouse, Laundry Facilities, Property Manager on Site, Gated, Laundry Service, Package Service, Yard, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,1.79,45.5095620,,-122.5802172,0,2,72,522,1.53,Not Disclosed,46980,,Garden,Montavilla,,700,1977,2015,97215-3665,CG
41.54,52.31,3.08,,3.08,"Laundry Facilities, Property Manager on Site",1.40,1068,761,B,,Portland,0.42,"Laundry Facilities, Property Manager on Site",,1.89,45.5197680,,-122.5000210,0,2,65,612,1.10,Not Disclosed,46975,500,Garden,Glenfair,938,885,1972,2019,97233-3552,RM2
25.00,50.00,25.00,,,"Laundry Facilities, Smoke Free, Wheelchair Accessible (Rooms)",1.14,997,875,C,,Mcminnville,,"Laundry Facilities, Smoke Free, Wheelchair Accessible (Rooms)",,2,45.2094682,,-123.2076364,0,2,32,750,,Not Disclosed,26433,,Garden,Yamhill County,1050,850,1974,,97128,R-4
1.89,88.68,5.66,0.0377,,"Laundry Facilities, Picnic Area, Property Manager on Site",1.48,1315,888,C,,Mcminnville,,"Laundry Facilities, Picnic Area, Property Manager on Site",1120,1.0615,45.2100194,,-123.2126998,0,2,53,600,,Not Disclosed,48060,,Garden,Yamhill County,995,878,1972,,97128-5209,
,46.15,53.85,,,,0.97,1020,1054,C,,Newberg,31.67,,,1.14,45.2983990,,-122.9623410,0,2,26,,1.19,Not Disclosed,29380,,Garden,Yamhill County,1100,1000,1970,,97132,R-3
50.00,50.00,,,,Laundry Facilities,,,695,C,,Battle Ground,18.92,Laundry Facilities,,1.28,45.7829070,,-122.5346260,0,1,20,670,1.11,Not Disclosed,19803,,Garden,Outlying Clark  County,,720,1974,,98604,MK
58.70,41.30,,,,Laundry Facilities,1.52,907,598,C,,Vancouver,12.84,Laundry Facilities,,1.44,45.6393140,,-122.6531720,0,2,46,520,1.50,Not Disclosed,27639,,Garden,Rose Village,,709,1972,,98661-3749,"R-30, Vancouver"
100.00,,,,,"Air Conditioning, Laundry Facilities",1.61,968,600,C,,Vancouver,11.89,"Air Conditioning, Laundry Facilities",,3.43,45.6383820,,-122.6242480,0,2,131,600,0.97,Not Disclosed,79000,,Garden,Meadow Homes,,,1972,,98661-5670,"R-22,  Vancouver"
33.75,30.00,2.50,,33.75,"Air Conditioning, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Media Center/Movie Theatre, Pet Play Area, Recycling, Smoke Free",1.65,982,597,C,,Vancouver,8.77,"Air Conditioning, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Media Center/Movie Theatre, Pet Play Area, Recycling, Smoke Free",,4.07,45.6192430,,-122.6228690,0,3,80,528,1.61,Not Disclosed,55800,440,Low-Rise,Columbia Way,1200,800,1979,,98661-6057,R-30
